【每股收益(元)】	【每股净资产(元)】	【调整后净资产(元)】	【股东权益比率(％)】	【每股未分利润(元)】	【主营收入增长率(％)】	【主营业务利润率(％)】	【股东权益增长率(％)】	【流动比率】	【速动比率】	【应收帐款周转率】	【资产负债比(％)】
0.559837728	0.616083916	0.678700783	0.219162533	0.921840885	0.11574476	0.709653465	0.42555419	0.284353059	0.284892838	0.074497354	0.31740683
0.576064909	0.186013986	0.310316626	0.657571681	0.813433751	0.11574476	0.700082508	0.42555419	0.053159478	0.054364872	0.026878307	0.070574145
0.470588235	0.46013986	0.549012735	0.583326326	0.80146211	0.11574476	0.51320132	0.42555419	0.172517553	0.174072138	0	0.148771077
0.507099391	0.265734266	0.379600421	0.604263012	0.835757918	0.11574476	0.512623762	0.42555419	0.043129388	0.04338735	0.020740741	0.068607311
0.537525355	0.237482517	0.164622035	0.783612209	0.803547335	0.11574476	0.714026403	0.42555419	0.05115346	0.057501307	0.015026455	0.077325715
0.563894523	0.562097902	0.623904662	0.552005381	0.901626475	0.113973865	0.506435644	0.455141336	0.056168506	0.052273915	0.037883598	0.069751955
0.748478702	0.666993007	0.71900923	0.704426974	0.857934892	0.11574476	0.741584158	0.42555419	0.112337011	0.105593309	0.08973545	0.130374373
0.792089249	0.535664336	0.60042061	0.757714622	0.813850796	0.127157193	0.651980198	0.450771542	0.079739218	0.077365395	0.02984127	0.118870552
0.89148073	1	1	0.666631632	0.782253514	0.11574476	0.990594059	0.42555419	0.054162487	0.07422896	0.044444444	0.165357808
0.770791075	0	0.164622035	0	0.780757059	0.11574476	0.412293729	0.42555419	0.053159478	0	0.063915344	0.091111974
0.478701826	0.313286713	0.415702769	0.864920541	0.814537693	0.148755165	0.568646865	0.43420274	0.019558676	0.024046001	0.092275132	0.086266161
0.567951318	0.185874126	0.317443627	0.507168082	0.815028335	0.11574476	0.802640264	0.42555419	0.04663992	0.056455829	0.022010582	0.167354911
0.669371197	0	0.164622035	0	0.851384834	0.11574476	0.412293729	0.42555419	0.055165496	0.054364872	0.035767196	0.083937003
0.501014199	0.261538462	0.381937142	0.931766585	0.830091014	0.11574476	0.656848185	0.42555419	0.043630893	0.032932567	0.026031746	0.087118463
0.568965517	0.265734266	0.34922304	0.47073909	0.831783725	0.11574476	0.545544554	0.42555419	0.03109328	0.043910089	0.07047619	0.066399856
0.501014199	0.181818182	0.309498773	0	0.798199347	0.11574476	0.822524752	0.42555419	0.311434303	0.338212232	0.026878307	1
0.709939148	0.331468531	0.164622035	0	0.856070456	0.11574476	0.412293729	0.42555419	0.007021063	0.019864088	0.046984127	0.081264674
0.476673428	0.230769231	0.164622035	0.87992937	0.796776488	0.11574476	0.412293729	0.42555419	0.044132397	0.043910089	0.04	0.083417255
0.659229209	0.309090909	0.164622035	0	0.869023379	0.11574476	0.412293729	0.42555419	0.058174524	0.051228437	0.147724868	0.073616601
0.47464503	0.22979021	0.164622035	0.688283024	0.795917867	0.11574476	0.878877888	0.42555419	0.030591775	0.04913748	0.012275132	0.129021703
