【每股收益(元)】	【每股净资产(元)】	【调整后净资产(元)】	【股东权益比率(％)】	【每股未分利润(元)】	【主营收入增长率(％)】	【主营业务利润率(％)】	【股东权益增长率(％)】	【流动比率】	【速动比率】	【应收帐款周转率】	【资产负债比(％)】
0.584573003	0.502762431	0.507240338	0.793112306	0.513200623	0.12738529	0.447100313	0.882050566	0.473551637	0.377358491	0.039667807	0.246198744
0.557575758	0.523425414	0.546515262	0.016347724	0.502135231	0.170084839	0.765673981	0.692498952	0.503778338	0.53638814	0.010503175	0.759671752
0.560606061	0.561325967	0.574955725	0.645964442	0.530849644	0.12738529	0.438675549	0.882050566	0.35768262	0.258760108	0.074401563	0.261307092
0.53553719	0.481657459	0.5046359	0.601159569	0.505638345	0.12738529	0.484521944	0.882050566	0.644836272	0.504043127	0.009819248	0.273615997
0.637741047	0.57679558	0.597874779	0.548043227	0.547564502	0.12738529	0.432503918	0.882050566	0.59697733	0.423180593	0.051392281	0.285204846
0.543801653	0.507071823	0.478695697	0.468377887	0.515024466	0.119780388	0.865987461	0.902095265	0.599496222	0.541778976	0.009819248	0.30963429
0.639393939	0.56	0.584331701	0.680384566	0.566325623	0.272986675	0.538891066	0.914205895	0.705289673	0.342318059	0.046116268	0.254130568
0.566115702	0.459668508	0.479112408	0.841311487	0.501879448	0.165409798	0.459835423	0.884648694	0.539042821	0.369272237	0.028920371	0.235292716
0.552341598	0.475138122	0.484321283	0.570592444	0.517459964	0.130455275	0.412519592	0.922908227	0.450881612	0.361185984	0.007767465	0.27917564
0.577134986	0.485082873	0.511407438	0.883786214	0.521574733	0.136340475	0.507151254	0.904078782	0.337531486	0.253369272	0.015192965	0.238720214
0.575757576	0.527071823	0.545473487	0.042768288	0.512622331	0.130710046	0.763420846	0.790627183	0.065491184	0.148247978	0.010600879	0.87150566
0.537465565	0.490607735	0.509323888	0.422563896	0.505883007	0.142467708	0.473844044	0.91406621	0.61209068	0.498652291	0.008793356	0.326452749
0.62892562	0.926850829	0.927075737	0.340843623	0.508162811	0.20981631	0.527331505	0.090250035	0.909319899	0.822102426	0.032193454	0.370062129
0.586501377	0.618121547	0.630169809	0.442819661	0.506817171	0.216274745	0.568965517	0.716482749	0.876574307	0.684636119	0.031021006	0.40695065
0.55785124	0.426519337	0.456193353	0.776599453	0.504504004	0.149129958	0.634698276	0.97079201	0.62720403	0.442048518	0.012945774	0.23674832
0.560606061	0.533701657	0.522866965	0.910335211	0.504148132	0.151868742	0.453173981	0.953233692	0.438287154	0.283018868	0.012945774	0.223781826
0.53553719	0.517127072	0.543702469	0.630827661	0.511599199	0.161728364	0.417319749	0.882525492	0.440806045	0.312668464	0.031167562	0.27116721
0.555096419	0.59558011	0.617668507	0.025484836	0.504848754	0.133053935	0.94161442	0.686213158	0	0	0.013873962	0.73410008
0.519559229	0.459116022	0.489425982	0.440324386	0.510954181	0.135537948	0.382347179	0.86678307	0.468513854	0.156334232	0.039081583	0.319650004
0.577134986	0.583425414	0.60412543	0.381428545	0.524299377	0.263050623	0.542711599	0.822014248	0.589420655	0.843665768	0.041377626	0.509787032
0.584848485	0.512154696	0.534951557	0.100526577	0.500122331	0.13967797	0.697100313	0.721329795	0.730478589	0.781671159	0.014264778	0.596822038
0.563360882	0.721546961	0.733305553	0.318074234	0.508173932	0.188402843	0.629800157	0.252353681	0.639798489	0.533692722	0.024279433	0.377477853
0.570247934	0.547845304	0.572976352	0.340274847	0.526012011	0.106455886	0.528996865	0.877622573	0.931989924	0.735849057	0.012261847	0.363472944
0.593663912	0.659668508	0.678091468	0.530099261	0.56272242	0.129448931	0.423981191	0.826065093	0.942065491	0.679245283	0.030679043	0.290268108
0.544077135	0.707955801	0.717678925	0.963213034	0.560642794	0.204427913	0.484619906	0.894272943	0.468513854	0.274932615	0.027601368	0.215414402
0.566115702	0.562430939	0.57808105	0.26582023	0.52265347	0.159843061	0.71257837	0.780192764	1	0.876010782	0.014509038	0.407830234
0.549862259	0.561325967	0.586415252	0.011889254	0.518716637	0.14955033	0.453369906	0.91353541	0.080604534	0.369272237	0.348510015	1
0.543526171	0.449834254	0.477028857	0.539438196	0.511710409	0.154785865	0.473354232	0.987582065	0.491183879	0.250673854	1	0.287603246
0.621212121	0.721546961	0.726013126	0.311395703	0.519005783	0.12738529	0.746375392	0.882050566	0.959697733	0.854447439	0.013873962	0.413597534
0.545730028	0.611933702	0.622773206	0.612516742	0.512133007	0.183294693	0.636951411	0.877790194	0.622166247	0.455525606	0.066829507	0.28207314
0.593663912	0.766850829	0.769767684	0.13325872	0.528113879	0.174683448	0.549275078	0.654700377	0.801007557	1	0.028431851	0.641409652
0.541322314	0.71160221	0.7187207	0.309487551	0.50179048	0.133487045	0.83346395	0.640215114	0.841309824	0.795148248	0.015876893	0.393136087
0.552341598	0.552486188	0.573913949	0.319248482	0.51338968	0.130697307	0.642535266	0.835382037	0.911838791	0.735849057	0.010258915	0.381486976
0.558953168	0.572486188	0.595478696	0.061189292	0.508674377	0.127716491	0.504408307	0.797499651	0.544080605	0.673854447	0.041621886	0.677390582
0.593663912	0.731491713	0.74476508	0.159826065	0.50468194	0.174415938	0.471982759	0.455859757	0.536523929	0.733153639	0.025598437	0.523285915
0.599173554	0.998895028	0.998958225	0.073885841	0.500522687	0.180670556	0.649196708	0.031596592	0.367758186	0.506738544	0.060918417	0.626529536
0.574380165	0.559116022	0.540577143	0.809698549	0.50837411	0.157728466	0.733346395	0.882413745	0.591939547	0.482479784	0.009233024	0.253072179
0.459779614	0.198121547	0.200645901	0.712859843	0.378302936	0.043858755	0	0.806509289	0.264483627	0.150943396	0.004787494	0.180592506
0.553168044	0.430939227	0.462444005	0.332789021	0.52522242	0.121563782	0.693867555	0.89501327	0.355163728	0.28032345	0.022178798	0.37469218
0.520110193	0.454585635	0.480466715	0.276516889	0.508852313	0.12738529	0.385971787	0.882050566	0.652392947	0.493261456	0.03531998	0.400679455
0.546280992	0.44640884	0.477028857	0.268021944	0.526879448	0.180186492	0.399490596	0.922838385	0.695214106	0.555256065	0.268099658	0.073880874
0.631404959	0.689502762	0.676007917	0.665761518	0.502035142	0.169409697	0.50244906	0.936317921	0.652392947	0.223719677	0.039472399	0.26122774
0	0	0	0	0	0.123219791	0.582974138	0	0.302267003	0.123989218	0.006936981	0.147678999
0.527548209	0.234033149	0.231169914	0.581601013	0.366470196	0.152633054	0.557895768	0.962983657	0.38790932	0.142857143	0.012750366	0.173603943
0.566115702	0.479558011	0.496822586	0.424472047	0.509586299	0.145474001	0.66075627	0.888727476	0.395465995	0.191374663	0.03234001	0.341415637
0.53415978	0.386740331	0.411397021	0.8465956	0.477546708	0.16790655	0.476586991	0.89171672	0.468513854	0.374663073	0.006204201	0.201807333
0.603030303	0.843646409	0.81612668	0.955085041	0.513011566	0.113411123	0.457582288	0.887665875	0.493702771	0.210242588	0.039032731	0.217785108
0.397796143	0.190607735	0.032190853	0.433847678	0.114746441	0.128136863	0.09786442	0.77311077	0.329974811	0.229110512	0.00371275	0.16391167
0.508264463	0.380773481	0.414522346	0.32702787	0.502057384	0.075577692	0.402331505	0.884341388	0.637279597	0.431266846	0.013043478	0.370459077
0.514325069	0.406740331	0.439629128	0.082674348	0.527079626	0.119602048	0.493142633	0.917642129	0.607052897	0.509433962	0.009086468	0.609477393
0.502754821	0.296906077	0.316074591	0.438067629	0.437288701	0.091602762	0.331602665	0.877287331	0.471032746	0.285714286	0.011626771	0.320471655
0.559504132	0.49281768	0.517033024	0.734730198	0.500100089	0.145282923	0.706112853	0.886213158	0.287153652	0.199460916	0.021690278	0.272852635
0.620936639	0.678453039	0.683300344	0.807827092	0.559886566	0.39937836	0.460325235	0.96678307	0.496221662	0.237196765	0.036150464	0.255499212
0.351239669	0.226519337	0.258256068	0.621947416	0.324243772	0.062992026	0.467574451	0.800544769	0.277078086	0.164420485	0.007132389	0.175447193
0.516253444	0.443093923	0.462444005	0.222281342	0.510431495	0.115016178	0.707092476	0.885025842	0.952141058	0.71967655	0.014167074	0.073880874
0.498347107	0.303867403	0.338472758	0.406931729	0.491803826	0.15240376	0.644788401	0.874409834	0.614609572	0.530997305	0.011822179	0.580366638
0.520936639	0.354696133	0.383269091	0.899877071	0.460909698	0.127933046	0.611285266	0.889509708	0.488664987	0.172506739	0.012457255	0.215868604
0.504132231	0.206961326	0.196270445	0.489239124	0.2354871	0.092698275	0.433483542	0.912096662	0.34256927	0.215633423	0.009233024	0.17021584
0.612947658	0.402209945	0.418689447	0.632717465	0.520862989	0.188670352	0.457484326	0.911090934	0.423173804	0.307277628	0.024035173	0.264209192
0.874104683	0.859668508	0.847900823	0.977542521	0.61172153	0.219484854	0.467280564	0.914541137	0.440806045	0.25606469	0.024621397	0.073880874
0.516528926	0.424309392	0.452026253	0.673852815	0.502001779	0.094252376	0.305250784	0.88557061	0.355163728	0.25606469	0.003908158	0.260831989
0.538292011	0.367955801	0.389519742	0.881015724	0.451323399	0.179154671	0.556720219	0.894161196	0.367758186	0.258760108	0.034147533	0.241024061
0.553719008	0.42198895	0.450255235	0	0.5	0.138607934	0.834443574	0.88459282	0.811083123	0.762803235	0.018368344	0.810453009
0.508264463	0.293922652	0.279091572	0.88804286	0.351089858	0.110570431	0.323275862	0.883000419	0.397984887	0.253369272	0.01011236	0.1948136
0.563360882	0.561325967	0.584331701	0.14947801	0.585353648	0.121092456	0.570043103	0.886813801	0.942065491	0.938005391	0.011577919	0.531652032
0.544077135	0.392265193	0.398895718	0.911491111	0.528647687	0.190186237	0.513322884	0.884942031	0.415617128	0.191374663	0.025842697	0.219657918
0.460055096	0.189834254	0.207938327	0.582977084	0.359230427	0	0.296238245	0.780919123	0.410579345	0.339622642	0.00346849	0.172196469
0.504958678	0.436022099	0.451088655	0.863200191	0.514145907	0.156085195	0.425646552	0.908576617	0.501259446	0.369272237	0.016365413	0.267371617
0.564187328	0.327071823	0.347848734	0.906096912	0.511821619	0.167244147	0.536637931	1	0.428211587	0.269541779	0.043917929	0.218019509
0.549586777	0.399005525	0.431919992	0.871419922	0.52176379	0.12738529	0.715713166	0.882050566	0.347607053	0.23180593	0.00346849	0.236329762
0.599173554	0.407734807	0.440566726	0.631304699	0.537600089	0.166148633	0.497452978	0.943930717	0.609571788	0.514824798	0.032535418	0.268649057
0.560330579	0.337016575	0.372851339	0.998367062	0.372809164	1	0.684071317	0.917041486	0.284634761	0.199460916	0.006253053	0.218184044
0.641873278	0.784530387	0.786436087	0.539383153	0.513600979	0.130506229	0.548981191	0.887847465	0.607052897	0.48787062	0.016072301	0.302804961
0.516528926	0.476243094	0.504115012	0.514687265	0.526723754	0.319737077	0.908601097	0.926875262	0.64231738	0.587601078	0.035124573	0.37055848
0.504407713	0.430607735	0.431190749	0.754031888	0.506594751	0.207536114	0.544376959	0.883000419	0.511335013	0.366576819	0.012310699	0.247279154
0.640495868	0.87801105	0.871236587	0.638313487	0.581750445	0.178568699	0.573667712	0.982483587	0.695214106	0.539083558	0.022325354	0.318630608
0.546831956	0.316022099	0.348890509	0.555987744	0.413100534	0.086953199	0.218945925	0.905866741	0.501259446	0.199460916	0.004543234	0.283255166
