【每股收益(元)】	【每股净资产(元)】	【调整后净资产(元)】	【净资产收益率(％)】	【股东权益比率(％)】	【每股未分利润(元)】	【主营收入增长率(％)】	【主营利润增长率(％)】	【主营业务利润率(％)】	【总资产增长率(％)】	【股东权益增长率(％)】	【每股收益增长率(％)】	【流动比率】	【速动比率】	【应收帐款周转率】	【存货周转率】	【资产负债比(％)】
0.091	2.976	2.974	3.071	75.479	0.1967	-22.25	-31.71	41.56	195.28	213.8	-49.09	2.49	2.4	1.61	1.3	24.52
0.202	3.356	3.331	6.007	68.246	0.5071	0	0	55.52	0	0	0	3.75	3.32	1.64	1.38	31.52
0.083	4.389	4.367	1.897	75.825	0.231	2.35	7.74	31.2	116.38	270.14	-26.85	2.91	2.36	2.51	0.59	24.18
0.145	2.95	2.83	4.9	47.35	0.1722	-26.92	-14.96	18.79	-1.87	107.5	-19.79	1.37	1.23	4.87	5.65	48.56
0.075	3.18	3.143	2.352	85.927	0.0807	82.91	50.9	41.02	335.48	293.27	-34.36	4.6	4.59	4.64	35.82	14.07
0.087	3.472	3.413	2.509	52.921	0.3047	0	0	16.63	0	0	0	0.84	0.7	0	7.39	47.02
0.071	2.84	2.745	2.51	53.458	0.1553	0	0	17.61	0	0	0	1.85	1.52	0	1.19	46.08
0.27	3.24	3.2	8.33	61.361	0.5102	0	0	11.08	0	0	0	2.02	1.6	0	4.61	38.64
0.067	3.028	3.002	2.205	65.94	0.1772	32.71	24.15	52.9	148.46	162.53	-24.16	1.83	1.82	1.54	18.51	31.77
0.501	2.95	2.95	16.97	67.322	0.4965	15.2	3.56	24.04	8.17	18.47	-2.16	3.96	2.11	6.19	2.42	32.68
0.086	2.616	0	3.3	38.108	0.0989	18.49	9.53	14.86	25.66	1.85	7.55	1.44	1.09	5.39	3.36	59.34
0.032	2.697	2.495	1.17	52.108	0.1823	45.99	61.35	13.7	14.34	8.12	46.78	1.18	1.1	0.85	1.94	47.89
0.06	2.19	2.158	2.72	38.751	0.084	33.62	-33.02	13.81	-0.8	-3.61	-54.49	0.73	0.71	2.4	19.37	54.78
0.129	3.343	3.29	3.871	91.381	0.2429	-0.52	-9.39	40.91	3.57	7.02	0.73	11.68	10.91	0.65	2.7	5.09
0.066	2.82	2.72	2.35	63.605	0.0726	17.11	14.76	18.55	-4.63	-0.1	35.65	1.73	1.55	1.01	2.44	36.4
0.173	4.368	4.34	3.956	86.248	0.1625	104.89	33.13	22.52	6.27	3.63	5.13	6.87	6.23	7.92	2.1	12.75
0.16	2.362	2.29	6.775	64.296	0.2213	15.85	3.25	26.5	7.8	5.42	-4.01	2.86	2.32	6.21	2.01	25.51
0.045	2.254	2.219	2.008	42.025	0.0686	0	-25.21	26.77	19.7	-2	-36.91	1.71	1.29	2.25	0.55	57.98
0.037	3.22	3.025	1.163	31.671	0.0615	46.11	23.08	17.55	26.66	2.98	7.2	1.1	0.81	1.94	0.9	65.05
0.267	3.184	3.131	8.38	55.293	0.2016	12.64	23.69	12.94	2.95	7.04	31.72	0.96	0.71	5.5	7.24	42.6
0.08	3.843	3.813	2.078	86.771	0.0935	44.57	3.71	46.4	4.86	2.83	4.94	7.23	7.11	2.17	6.96	12.93
0.14	2.56	2.55	5.35	54.77	0.1655	20.41	-22.75	10.01	17.9	-8.52	-24.48	1.26	0.87	6.09	3.33	45.23
0.147	3.798	3.747	3.878	69.686	0.3658	62.08	57.16	29.4	27.66	9.96	41.98	4.44	3.51	5.55	1.92	17.98
0.102	2.097	2.062	4.842	81.818	0.0815	48.06	71.34	42.76	4.11	3.41	20.29	5.24	5.21	2.79	24.44	14.53
0.172	5.032	5.032	3.421	69.844	0.2148	92.8	11.71	24.6	23.07	2.3	37.63	1.63	1.36	5.4	2.35	29.55
0.081	3.448	3.438	2.35	67.986	0.3151	-12.51	-10.24	23.77	12.61	4.87	-8.88	2.82	2.34	1.69	0.99	32.01
0.133	4.155	4.15	3.21	58.853	0.2973	-23.31	-21.01	12.17	34.14	-0.41	-21.5	2.87	2.6	12.72	1.66	40.71
0.31	4.793	4.74	6.48	33.589	0.5114	16.33	17.23	17.12	64.09	3.82	-10.31	1.26	0.69	2.57	1.22	63.38
0.128	3.487	3.484	3.659	69.989	0.2314	93.1	34.28	36.22	132.88	225.65	-22.08	2.91	2.68	3.54	4.04	30.01
0.193	3.364	3.347	5.728	80	0.0425	-5.18	-20.2	13.9	1.71	1.92	-40.45	2.13	1.2	29.54	6.64	17
0.088	2.529	2.495	3.468	64.931	0.2173	12.04	18.37	19.79	25.28	70.99	-25.67	1.52	0.81	105.88	1.82	34.98
0.208	5.026	4.97	4.129	73.054	0.3193	176.62	139.38	41.99	32.95	2.44	50.32	3.66	3.06	5.87	1.17	21.99
0.407	3.9	3.75	10.44	57.549	0.0369	55.69	56.66	34.49	7.44	1.16	14.55	1.53	1.02	11.84	2.92	37.58
0.085	3.62	3.57	2.333	77.222	0.1374	107.15	110.11	29.16	11.95	5.65	18.85	3.95	3.39	4	2.07	16.86
